ticker,snapshot_date,rvol,volume_zscore,vol_price_divergence,vol_spike_days,vol_trend_slope_norm,log_return_1d,price_vs_sma20,rsi_14,bb_width,gap_open,range_expansion,buzz_density,extreme_language_ratio,moderate_hype_ratio,bearish_ratio,source_diversity,headline_similarity,catalyst_flag,hype_without_catalyst,news_volume_sync,silent_spike,pseudo_label,hype_score_raw
CAT,2023-10-23,1.357,1.115,0.602,1,0.043017,-0.00757,-6.78,31.35,12.135,-0.63,0.845,3.75,0.0,0.033,0.0,0.533,0.083,0,0,0,0,NEUTRAL,0.3678
CLF,2024-01-12,0.84,-0.21,-0.584,0,0.036785,0.01414,-6.391,17.17,20.318,1.26,0.655,3.75,0.0,0.0,0.0,0.333,0.094,0,0,0,0,NEUTRAL,0.342
HON,2024-01-12,0.832,-0.383,0.549,0,-0.148062,-0.00283,-1.842,37.3,5.357,0.853,1.477,3.75,0.0,0.033,0.033,0.3,0.116,0,0,0,0,NEUTRAL,0.4585
HD,2024-05-03,1.143,0.78,-1.039,0,0.098767,0.02158,0.917,56.34,10.675,1.714,1.238,3.75,0.0,0.0,0.0,0.5,0.079,0,0,0,0,NEUTRAL,0.3855
NKE,2025-01-03,0.771,-0.304,0.282,2,0.071395,-0.0049,-4.56,24.31,7.902,0.339,0.693,3.75,0.067,0.033,0.0,0.5,0.118,0,0,0,0,NEUTRAL,0.3763
TGT,2024-11-21,2.461,0.84,2.354,3,1.122925,-0.00107,-17.637,25.63,25.114,0.304,1.06,3.75,0.0,0.033,0.033,0.467,0.081,0,0,1,0,NEUTRAL,0.4568
HD,2023-11-01,1.02,0.154,0.339,0,-0.022031,0.00679,-0.74,41.49,9.4,0.316,1.006,3.75,0.0,0.0,0.0,0.5,0.079,0,0,0,0,NEUTRAL,0.3972
TMO,2023-12-21,0.548,-1.015,-0.825,1,-0.365683,0.01363,4.738,71.11,11.571,-0.262,0.857,3.75,0.0,0.0,0.033,0.367,0.094,0,0,0,0,NEUTRAL,0.4502
BABA,2023-11-21,1.171,0.223,0.559,4,-0.276226,0.0061,-4.408,41.86,12.206,-0.777,0.951,3.75,0.0,0.0,0.0,0.467,0.115,0,0,0,0,NEUTRAL,0.4084
BLK,2023-07-14,1.665,1.725,0.074,0,0.221237,-0.01604,4.493,74.38,10.098,0.433,1.679,3.75,0.033,0.033,0.0,0.467,0.088,0,0,0,0,ORGANIC,0.1755
TGT,2024-04-04,1.036,0.142,-0.827,0,-0.031161,-0.01881,0.828,67.2,9.461,0.769,1.863,3.75,0.0,0.033,0.033,0.467,0.081,0,0,0,0,NEUTRAL,0.3726
ABBV,2024-03-14,1.32,1.569,0.575,0,0.046411,0.00742,1.545,58.08,4.089,0.167,1.047,3.75,0.0,0.033,0.0,0.467,0.091,0,0,0,0,NEUTRAL,0.3985
CRM,2023-10-23,1.094,0.548,0.244,0,0.07845,-0.00853,-1.33,53.57,5.32,-1.88,1.168,3.75,0.0,0.0,0.0,0.4,0.093,1,0,0,0,ORGANIC,0.1208
PFE,2024-01-12,0.601,-0.74,-0.455,0,0.003625,0.01051,0.7,54.84,13.989,0.211,0.752,3.75,0.0,0.033,0.033,0.4,0.083,0,0,0,0,NEUTRAL,0.4002
GE,2024-07-05,0.785,-0.399,-0.748,1,-0.164914,-0.01546,-0.314,60.15,6.278,0.147,0.886,3.75,0.0,0.067,0.0,0.467,0.122,0,0,0,0,NEUTRAL,0.3998
MU,2024-03-14,0.978,-0.072,-1.921,0,-0.06005,-0.02942,0.919,58.17,27.046,-0.913,1.105,3.75,0.033,0.033,0.033,0.467,0.094,0,0,0,0,NEUTRAL,0.3813
META,2024-05-14,0.504,-0.631,-0.316,0,0.013579,0.00817,1.183,41.35,19.197,-0.991,1.014,3.75,0.0,0.0,0.033,0.533,0.092,0,0,0,0,NEUTRAL,0.3974
